mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.2511137962341309,0.010606077306194095,0.014000749588012696,0.00600953253548429,20,2,2,300,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",0.958041958041958,0.8933566433566433,0.7890909090909091,0.9618181818181818,0.8553113553113553,0.8915238095238095,0.06507405484459478,39
0.08072938919067382,0.006719352185453202,0.0033299922943115234,0.0011143197847615371,20,2,5,100,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.9475524475524475,0.8863636363636364,0.8054545454545454,0.9618181818181818,0.8791208791208791,0.8960619380619381,0.055795900009783315,1
0.15713877677917482,0.024888836097954253,0.005858230590820313,0.0009434869769142498,20,2,5,200,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.9562937062937064,0.8916083916083917,0.7945454545454546,0.9654545454545455,0.86996336996337,0.8955730935730936,0.06236757295062971,4
0.2750589847564697,0.07455451634041427,0.00869894027709961,0.0037015815855272957,20,2,5,300,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 300}",0.958041958041958,0.8881118881118881,0.7981818181818182,0.9654545454545455,0.8626373626373627,0.8944855144855145,0.06229824184561672,14
0.07391057014465333,0.008110444425235645,0.0036976814270019533,0.001046323933792815,20,2,10,100,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",0.9562937062937062,0.8916083916083917,0.7781818181818182,0.96,0.86996336996337,0.8912094572094572,0.06662567194762592,41
0.1607987403869629,0.012520854037844574,0.005722141265869141,0.002728269492552391,20,2,10,200,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200}",0.9615384615384615,0.8951048951048951,0.7854545454545455,0.9618181818181818,0.8626373626373626,0.8933106893106894,0.06621982383544471,24
0.23310408592224122,0.026788382087931165,0.007972192764282227,0.0032765422727982925,20,2,10,300,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 300}",0.9615384615384615,0.8968531468531469,0.78,0.9636363636363636,0.8608058608058607,0.8925667665667666,0.06856586244030323,30
0.08197426795959473,0.01088311955612513,0.004495573043823242,0.0016906972744285109,20,4,2,100,"{'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}",0.9527972027972029,0.8828671328671328,0.7745454545454545,0.9618181818181818,0.8717948717948718,0.8887645687645687,0.06753630878238912,66
0.1719721794128418,0.01022026733688244,0.006790256500244141,0.001788394951671011,20,4,2,200,"{'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 200}",0.9615384615384616,0.8933566433566433,0.7872727272727272,0.96,0.858974358974359,0.8922284382284381,0.06560437761652682,33
0.2323671817779541,0.014717987108030474,0.007595491409301758,0.0021629006162147885,20,4,2,300,"{'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 300}",0.9615384615384615,0.8968531468531469,0.7909090909090909,0.9636363636363636,0.8626373626373627,0.8951148851148851,0.06484434144916137,9
0.08209857940673829,0.008421333544836852,0.003830146789550781,0.0012410730992287605,20,4,5,100,"{'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100}",0.9527972027972029,0.8828671328671328,0.7745454545454545,0.9618181818181818,0.8717948717948718,0.8887645687645687,0.06753630878238912,66
0.17488698959350585,0.012192963781715013,0.00661778450012207,0.0011023209921630786,20,4,5,200,"{'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 200}",0.9615384615384616,0.8933566433566433,0.7872727272727272,0.96,0.858974358974359,0.8922284382284381,0.06560437761652682,33
0.24378046989440919,0.006525565576142393,0.013340234756469727,0.0063951028280865236,20,4,5,300,"{'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 300}",0.9615384615384615,0.8968531468531469,0.7909090909090909,0.9636363636363636,0.8626373626373627,0.8951148851148851,0.06484434144916137,9
0.07916531562805176,0.006443335207366484,0.002843141555786133,0.00039645747981326357,20,4,10,100,"{'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100}",0.9615384615384615,0.8881118881118881,0.7890909090909092,0.9636363636363636,0.8681318681318682,0.8941018981018981,0.06499286495406725,17
0.16249642372131348,0.010673838449323503,0.009177541732788086,0.0022020616515179637,20,4,10,200,"{'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 200}",0.958041958041958,0.8933566433566433,0.7818181818181817,0.96,0.8571428571428572,0.8900719280719279,0.06681892974663435,56
0.20051050186157227,0.01640474434568959,0.005398321151733399,0.00023021614047689899,20,4,10,300,"{'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 300}",0.958041958041958,0.8933566433566433,0.7836363636363636,0.9618181818181818,0.8681318681318682,0.8929970029970029,0.06564351383884678,26
